CODE,NAME
"22017","Caddo"
"22015","Bossier"
"22119","Webster"
"22027","Claiborne"
"22111","Union"
"22067","Morehouse"
"22123","West Carroll"
"22035","East Carroll"
"22061","Lincoln"
"22073","Ouachita"
"22083","Richland"
"22013","Bienville"
"22065","Madison"
"22049","Jackson"
"22041","Franklin"
"22031","De Soto"
"22021","Caldwell"
"22107","Tensas"
"22081","Red River"
"22127","Winn"
"22069","Natchitoches"
"22025","Catahoula"
"22059","La Salle"
"22085","Sabine"
"22043","Grant"
"22029","Concordia"
"22079","Rapides"
"22115","Vernon"
"22009","Avoyelles"
"22077","Pointe Coupee"
"22117","Washington"
"22105","Tangipahoa"
"22091","St. Helena"
"22037","East Feliciana"
"22125","West Feliciana"
"22039","Evangeline"
"22003","Allen"
"22011","Beauregard"
"22097","St. Landry"
"22033","East Baton Rouge"
"22103","St. Tammany"
"22121","West Baton Rouge"
"22063","Livingston"
"22099","St. Martin"
"22047","Iberville"
"22019","Calcasieu"
"22053","Jefferson Davis"
"22001","Acadia"
"22055","Lafayette"
"22005","Ascension"
"22095","St. John the Baptist"
"22093","St. James"
"22071","Orleans"
"22113","Vermilion"
"22089","St. Charles"
"22007","Assumption"
"22023","Cameron"
"22087","St. Bernard"
"22101","St. Mary"
"22057","LaFourche"
"22075","Plaquemines"
"22045","Iberia"
"22109","Terrebonne"
"22051","Jefferson"